	Domain	Phylum	Class	Order	Family	Genus	Species
Mealworm_MAG_0001	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium_kalidii
Mealworm_MAG_0002	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_taiwanensis
Mealworm_MAG_0003	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Brevibacteriaceae	Brevibacterium	Brevibacterium_epidermidis
Mealworm_MAG_0004	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Jejubacter	Jejubacter_calystegiae
Mealworm_MAG_0005	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	NA
Mealworm_MAG_0006	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_paramesenteroides
Mealworm_MAG_0007	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_formosensis
Mealworm_MAG_0008	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella_aerogenes
Mealworm_MAG_0009	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_garvieae_A
Mealworm_MAG_0010	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	NA
Mealworm_MAG_0011	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Romboutsia_A	NA
Mealworm_MAG_0012	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_H	Enterococcus_H_canis
Mealworm_MAG_0013	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter_hormaechei_C
Mealworm_MAG_0014	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Intestinirhabdus	Intestinirhabdus_alba
Mealworm_MAG_0015	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus_faecalis
Mealworm_MAG_0016	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Latilactobacillus	Latilactobacillus_curvatus
Mealworm_MAG_0017	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium_sp022712275
Mealworm_MAG_0018	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	NA
Mealworm_MAG_0019	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kluyvera	NA
Mealworm_MAG_0020	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	Enterococcus_B_faecalis_A
Mealworm_MAG_0021	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_D	Enterococcus_D_sp022711995
Mealworm_MAG_0022	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella_cibaria
Mealworm_MAG_0023	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Brevibacteriaceae	Brevibacterium	NA
Mealworm_MAG_0024	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	NA
Mealworm_MAG_0025	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Metaclostridioides	Metaclostridioides_sp002390935
Mealworm_MAG_0026	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Tenebrionibacter	Tenebrionibacter_intestinalis
Mealworm_MAG_0027	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_taiwanensis
Mealworm_MAG_0028	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_avium
Mealworm_MAG_0029	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_C	Enterococcus_C_leclercqii
Mealworm_MAG_0030	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_A	Enterococcus_A_sp036657695
Mealworm_MAG_0031	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	JALAGN01	JALAGN01_sp022712415
Mealworm_MAG_0032	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus_pentosaceus
Mealworm_MAG_0033	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA
Mealworm_MAG_0034	Bacteria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria_fleischmannii
